"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT07","WT08","WT09","WT11","WT13","WT14","WT16","WT18","WT21","WV01","WV03","WV20"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-11","9.84"," 1209"," 1635","0.00",,,"60","70","49",,"  280","  190","0.0","25.1","28.0",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-12","8.05"," 1738"," 1259","0.31",,,"63","72","53",,"  190","  160","0.0","17.9","23.9",,,,,,,,,,,"    1","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-13","11.18"," 1123"," 1135","0.00",,,"61","66","55",,"  220","  190","0.0","19.9","28.0",,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-14","8.50"," 1630"," 1601","0.09",,,"58","63","53",,"  240","  260","0.0","19.9","23.0",,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-15","9.17"," 1347"," 1329","0.00",,,"58","63","53",,"  190","  200","0.0","21.0","23.9",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-16","12.30"," 1307"," 1306","0.64",,,"58","62","53",,"  130","  130","0.0","28.0","32.0","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-17","9.17"," 1748"," 1527","0.23",,,"57","63","51",,"  190","  180","0.0","17.9","23.0","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-18","9.84"," 1836"," 1836","0.00",,,"56","63","48",,"  260","  250","0.0","23.0","25.1",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-19","9.62"," 1700"," 1658","0.00",,,"56","64","47",,"  260","  250","0.0","21.0","23.9",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-20","12.30"," 1514"," 2020","0.00",,,"59","66","52",,"  250","  250","0.0","23.9","28.0",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-21","18.57"," 2044"," 1219","0.00",,,"57","61","53",,"  240","  240","0.0","33.1","38.9",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-22","16.55"," 2303"," 2335","0.03",,,"57","62","52",,"  260","  250","0.0","31.1","36.9","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-23","20.36"," 2359"," 2359","0.00",,,"56","62","50",,"  260","  270","0.0","34.0","38.0",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-24","11.63"," 1948"," 1947","0.00",,,"56","65","47",,"  250","  250","0.0","25.9","32.0",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-25","16.55"," 1511"," 1502","0.00",,,"58","64","51",,"  260","  260","0.0","25.9","30.0",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-26","9.40"," 2001"," 2000","0.00",,,"63","77","49",,"  260","  250","0.0","29.1","34.0",,,,,,,,,,,,,,,,,
